id,date,brand,serie,model,year,fuel,transmission,km,type,hp,cc,traction,color,guarantee,Nation,from_whome,change,status,price,city,county,neighborhood
783418244,24 ocak 2020,ford,focus,1.5 tdci style,2016,dizel,yarı otomatik,132.438,sedan,120,1499,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,133.900,İzmir,Gaziemir,Emrez Mah.
783395514,24 ocak 2020,ford,focus,1.6 tdci trend,2006,dizel,manuel,262.000,station wagon,110,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,38.250,İzmir,Buca,Yenigün Mh.
783157965,23 ocak 2020,ford,focus,1.6 tdci trend x,2014,dizel,manuel,183.000,sedan,95,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,72.500,İzmir,Gaziemir,Beyazevler Mah.
783113418,23 ocak 2020,ford,focus,1.6 tdci style,2013,dizel,manuel,114.319,sedan,115,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,91.500,Ağrı,Merkez,Kurtuluş Mh.
783109409,23 ocak 2020,ford,focus,1.6 tdci ghia,2008,dizel,manuel,198.999,hatchback 5 kapı,110,1560,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,64.250,Niğde,Merkez,Aşağı Kayabaşı Mh.
783076198,23 ocak 2020,ford,focus,1.6 tdci trend,2006,dizel,manuel,198.000,sedan,110,1560,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,47.650,Denizli,Merkezefendi,Saraylar Mah.
783071733,23 ocak 2020,ford,focus,1.6 ghia,2005,benzin & lpg,otomatik,264.000,sedan,100,1596,önden çekiş,gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,43.900,Balıkesir,Edremit,Hamidiye Mah.
783028915,23 ocak 2020,ford,focus,1.6 tdci titanium x,2009,dizel,manuel,220.000,sedan,110,1560,önden çekiş,gümüş gri,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,58.250,Aksaray,Merkez,Çiftlik Mh.
783013445,23 ocak 2020,ford,focus,1.6 gold collection,2005,benzin & lpg,manuel,158.000,sedan,100,1596,önden çekiş,gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,48.500,Antalya,Kepez,Karşıyaka Mh.
782811899,22 ocak 2020,ford,focus,1.5 tdci trend x,2018,dizel,otomatik,23.500,sedan,120,1500,önden çekiş,beyaz,evet,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,170.000,İstanbul,Tuzla,Şifa Mh.
782780234,22 ocak 2020,ford,focus,1.6 titanium,2011,benzin & lpg,otomatik,136.000,sedan,100,1596,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,82.900,Elazığ,Merkez,Ataşehir Mh.
782763680,22 ocak 2020,ford,focus,1.6 tdci trend x,2014,dizel,manuel,329.000,hatchback 5 kapı,95,1560,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,65.000,İstanbul,Kağıthane,Çağlayan Mh.
782743778,22 ocak 2020,ford,focus,1.6 tdci trend x,2008,dizel,manuel,278.000,hatchback 5 kapı,90,1560,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,52.500,Kahramanmaraş,Dulkadiroğlu,Bahçelievler Mh.
782693250,22 ocak 2020,ford,focus,2.0 ghia,2001,benzin & lpg,manuel,250.000,sedan,130,1988,önden çekiş,bordo,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,34.000,Malatya,Yeşilyurt,Hoca Ahmet Yesevi Mah.
782505438,22 ocak 2020,ford,focus,1.6 tdci trend,2012,dizel,manuel,143.000,sedan,95,1560,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,78.750,Ankara,Kızılcahamam,Yenice Mah.
782416776,21 ocak 2020,ford,focus,1.6 tdci trend x,2016,dizel,manuel,114.000,sedan,88,1450,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,98.500,Sakarya,Serdivan,Arabacıalanı Mh.
782381962,21 ocak 2020,ford,focus,1.6 tdci style,2014,dizel,manuel,150.000,hatchback 5 kapı,115,1560,önden çekiş,gri,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,69.500,Gaziantep,Şehitkamil,Karacaahmet Mh.
782323098,21 ocak 2020,ford,focus,1.6 comfort,2004,benzin & lpg,manuel,264.000,sedan,100,1596,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,40.900,Ankara,Çankaya,Anıttepe Mh.
781367069,18 ocak 2020,ford,focus,1.6 tdci collection,2011,dizel,manuel,90.000,hatchback 5 kapı,90,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,80.900,Bursa,Yenişehir,Yenigün Mh.
765230145,18 ocak 2020,ford,focus,1.6 tdci collection,2010,dizel,manuel,181.000,hatchback 5 kapı,90,1560,önden çekiş,siyah,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,61.950,İstanbul,Pendik,Orta Mah.
780998175,17 ocak 2020,ford,focus,1.5 tdci style,2015,dizel,yarı otomatik,88.000,hatchback 5 kapı,120,1499,önden çekiş,mavi,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,97.500,Diyarbakır,Bağlar,Bağcılar Mh.
542758596,17 ocak 2020,ford,focus,1.6 tdci trend x,2017,dizel,manuel,104.000,sedan,95,1560,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,112.000,İstanbul,Bağcılar,Göztepe Mh.
780938054,17 ocak 2020,ford,focus,1.5 tdci titanium,2015,dizel,yarı otomatik,174.000,station wagon,120,1499,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,118.750,İstanbul,Bağcılar,Göztepe Mh.
780924940,17 ocak 2020,ford,focus,1.6 tdci trend x,2017,dizel,manuel,48.000,sedan,95,1560,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,120.000,Hatay,Antakya,Haraparası Mh.
